ABE,40.651773,-75.442797
ABI,32.4113006592,-99.68190002440001
ABL,67.105529,-157.855339
ABQ,35.039976,-106.608925
ABR,45.449100494384766,-98.42179870605469
ABY,31.532946,-84.196215
ACK,41.25310135,-70.06020355
ACT,31.611299514770508,-97.23049926757812
ACV,40.978101,-124.109
ACY,39.45759963989258,-74.57720184326172
ADD,8.97789,38.799301
ADK,51.883564,-176.642783
ADQ,57.75,-152.4940033
ADS,32.9686012268,-96.8364028931
ADT,34.805214,-96.671988
ADW,38.810799,-76.866997
AEX,31.3274,-92.549797
AFW,32.99044,-97.31947
AGC,40.354401,-79.930199
AGS,33.3699,-81.9645
AGU,21.699589,-102.318372
AHN,33.948842,-83.325634
AIA,42.052543,-102.803965
AIN,70.638,-159.994995
AKC,41.037355,-81.46784
AKI,60.902646,-161.23106
AKL,-37.01199,174.786331
AKN,58.677845,-156.651965
AKP,68.133598,-151.742996
ALB,42.74829864501953,-73.80169677734375
ALI,27.7409,-98.026901
ALM,32.837818,-105.993149
ALN,38.89030075069999,-90.0459976196
ALO,42.557098388671875,-92.40029907226562
ALS,37.434898,-105.866997
ALW,46.09489822,-118.288002
AMA,35.219398,-101.706001
AMW,41.992001,-93.621803
ANB,33.5882,-85.8581
ANC,61.179004,-149.992561
AND,34.4945983887,-82.70939636230001
ANI,61.581600189208984,-159.54299926757812
ANN,55.037663,-131.572609
ANU,17.1367,-61.792702
ANV,62.646702,-160.190994
AOO,40.296398,-78.32
APA,39.57009888,-104.848999
APF,26.1525993347,-81.7752990723
APG,39.466202,-76.1688
APN,45.0780983,-83.56030273
ARA,30.0378,-91.883904
ARC,68.1147,-145.578995
ART,43.991901,-76.021698
ASD,24.697900772094727,-77.79560089111328
ASE,39.223202,-106.869003
AST,46.158000946,-123.878997803
ASU,-25.240156,-57.519227
ATK,70.46704,-157.436013
ATL,33.6367,-84.428101
ATT,60.866699,-162.272996
ATW,44.258099,-88.519096
ATY,44.91400146,-97.15470123
AUA,12.5014,-70.015198
AUG,44.320598602299995,-69.7973022461
AUK,62.682653,-164.722481
AUS,30.197535,-97.662015
AUW,44.9262008667,-89.6266021729
AVL,35.436199,-82.541801
AVP,41.338500976599995,-75.72339630130001
AVW,32.409065,-111.216199
AXA,18.204773,-63.05383
AXN,45.866299,-95.394699
AXX,36.422001,-105.290001
AZA,33.3078,-111.654999
AZO,42.234901428222656,-85.5521011352539
BAB,39.136101,-121.436996
BAD,32.501801,-93.662697
BAF,42.157799,-72.715599
BAQ,10.8896,-74.7808
BBD,31.178931,-99.324732
BCE,37.706401825,-112.144996643
BCT,26.3785,-80.107697
BDA,32.363998,-64.678703
BDE,48.7284011841,-94.612197876
BDL,41.93851,-72.688066
BDR,41.163502,-73.126198
BED,42.470001,-71.289001
BET,60.77980042,-161.8379974
BFD,41.8031005859375,-78.64009857177734
BFF,41.87400055,-103.5960007
BFI,47.529999,-122.302002
BFK,39.701698,-104.751999
BFL,35.433601,-119.056999
BFM,30.626800537100003,-88.06809997559999
BFP,40.772499,-80.391403
BGI,13.0746,-59.4925
BGM,42.20869827,-75.97979736
BGR,44.8074,-68.828102
BHB,44.45000076,-68.3615036
BHM,33.562901,-86.753502
BIF,31.84950066,-106.3799973
BIG,63.9944992065,-145.722000122
BIH,37.3731,-118.363998
BIL,45.807701,-108.542999
BIS,46.772701263427734,-100.74600219726562
BIX,30.4104003906,-88.92440032959999
BJC,39.908798,-105.116997
BJI,47.50939941,-94.93370056
BJX,20.992695,-101.480284
BKE,44.837299346900004,-117.808998108
BKG,36.532082,-93.200544
BKH,22.0228,-159.785004
BKL,41.51750183105469,-81.68329620361328
BKW,37.7873,-81.124199
BLD,35.947161,-114.858799
BLF,37.295799,-81.207703
BLH,33.6192016602,-114.717002869
BLI,48.79280090332031,-122.53800201416016
BLV,38.5452,-89.835197
BMG,39.145999908447266,-86.61669921875
BMI,40.4771,-88.915901
BNA,36.1245,-86.6782
BNE,-27.384199142456055,153.11700439453125
BNO,43.590463,-118.955154
